Time,LeftHipAngle,RightHipAngle,LeftKneeAngle,RightKneeAngle,LeftAnkleAngle,RightAnkleAngle
1970-01-01 00:00:00.000,157.9468115982513,152.6025710621414,166.8702471330411,165.46403037653383,87.29475447269888,98.4617833831512
1970-01-01 00:00:00.010,157.862466664478,152.4299661289227,166.85887374978446,168.09398850350797,86.83222345944051,98.28095814444325
1970-01-01 00:00:00.020,157.76834163595436,152.29240614067896,166.8541499451535,170.1207337907375,86.38458496059678,97.9868035126278
1970-01-01 00:00:00.030,157.6739096034836,152.17348463690837,166.85855949758283,171.44191501902793,85.9560948569494,97.60194689936796
1970-01-01 00:00:00.040,157.5823783281935,152.08319559356806,166.8723433878785,172.1037160543566,85.5562779855166,97.1643177331672
1970-01-01 00:00:00.050,157.50910179585767,151.99891529957767,166.89746126481717,172.3177570651667,85.19634883112282,96.70914720621592
1970-01-01 00:00:00.060,157.45880018813338,151.92279923641496,166.93161494107497,172.34801557999438,84.87592647075127,96.28282403136372
1970-01-01 00:00:00.070,157.4380930723713,151.84467913903538,166.9715429494951,172.38505917453708,84.59846151583247,95.92913414508568
1970-01-01 00:00:00.080,157.44830894332688,151.7745095455457,167.012810650919,172.50024058346386,84.36289766406134,95.69378919763406
1970-01-01 00:00:00.090,157.49027405564257,151.70095330897564,167.04778511439457,172.67578677318957,84.17011238371387,95.6114431689471
1970-01-01 00:00:00.100,157.56581547605026,151.62568760149662,167.06456304662424,172.83698496165104,84.0179293845089,95.71480365571568
1970-01-01 00:00:00.110,157.68416400948806,151.54407612066453,167.0459544681584,172.90295564581052,83.90806408445582,96.01692920021998
1970-01-01 00:00:00.120,157.84329478634828,151.46135553555672,166.96725001895027,172.8227580165992,83.83880988540375,96.52382966685651
1970-01-01 00:00:00.130,158.06367909849746,151.372492663795,166.79973900964194,172.59438114721377,83.83201883959609,97.22356424907709
1970-01-01 00:00:00.140,158.34582448278718,151.2771388129937,166.50478843880538,172.24985579676056,83.90025458393721,98.098740050493
1970-01-01 00:00:00.150,158.707996694672,151.17512390884937,166.0367547032554,171.8307193526277,84.07259583193375,99.1184883047866
1970-01-01 00:00:00.160,159.16314195773256,151.06813109695108,165.34632982630345,171.3627543717858,84.39346644910161,100.22735971494804
1970-01-01 00:00:00.170,159.72753970865872,150.95492955928836,164.38308003834342,170.8559735620139,84.91350703355515,101.3553605995603
1970-01-01 00:00:00.180,160.41062571046314,150.84516960444046,163.1051595619928,170.31304089629188,85.69079167582791,102.42262270970198
1970-01-01 00:00:00.190,161.22307282697133,150.74486230149998,161.4796585605552,169.73302130725065,86.78281167757164,103.34891824224466
1970-01-01 00:00:00.200,162.1706757297887,150.65489434610484,159.49793544584458,169.1164436829122,88.23950568565945,104.06329367075024
1970-01-01 00:00:00.210,163.2427173816522,150.58787732571423,157.1705052718318,168.4775142576956,90.09540699697688,104.52005684136569
1970-01-01 00:00:00.220,164.44681762049683,150.54312076795375,154.51908047629425,167.83493556298612,92.34723442998798,104.70313128940134
1970-01-01 00:00:00.230,165.75929277765746,150.52804818585608,151.59236883002714,167.21517777562397,94.94802329032056,104.62230833643656
1970-01-01 00:00:00.240,167.16845755119792,150.53994602280255,148.44720291643176,166.64789689729878,97.79310590030526,104.31665782450462
1970-01-01 00:00:00.250,168.65344368609544,150.5831750421644,145.14652362797315,166.16580103721117,100.73151602340252,103.8470611452076
1970-01-01 00:00:00.260,170.17904949032703,150.6536379606478,141.77154007761462,165.7823413378513,103.5833127259116,103.26932798450342
1970-01-01 00:00:00.270,171.74191778325516,150.74751525716877,138.39641243487927,165.51903657728573,106.16605765960354,102.6476865248319
1970-01-01 00:00:00.280,173.29752919835005,150.87668696576358,135.10543460595278,165.37971024319793,108.32563517388569,102.03020598861724
1970-01-01 00:00:00.290,174.8313567644456,151.03636904184458,131.9766285554972,165.35887862053715,109.95278109624056,101.45427387868769
1970-01-01 00:00:00.300,176.3187924539673,151.2320223015175,129.0757427746357,165.44253187631318,111.00258633631752,100.93753245129314
1970-01-01 00:00:00.310,177.71358563658683,151.4657416950482,126.4596546345731,165.6146884334697,111.47189660187396,100.48975494659938
1970-01-01 00:00:00.320,178.7942496807304,151.73737997662712,124.16444845596786,165.84830380920374,111.41706033000732,100.10510833874334
1970-01-01 00:00:00.330,178.58695957395042,152.04260512480948,122.21393478640816,166.12571263708816,110.92243816223898,99.77764630218024
1970-01-01 00:00:00.340,177.41542437484506,152.3781277479972,120.61012439028292,166.4249451978532,110.08614117335198,99.492727065631
1970-01-01 00:00:00.350,176.06140208661623,152.7366292018456,119.344313220201,166.73373348422402,109.00060521210617,99.24156715245984
1970-01-01 00:00:00.360,174.67803124094078,153.10965601610732,118.40198414926265,167.03848892380626,107.74458008187094,99.00783943219156
1970-01-01 00:00:00.370,173.27418109258616,153.487749303018,117.75740680117757,167.33355529667523,106.39461498035824,98.77991647677736
1970-01-01 00:00:00.380,171.8705932644704,153.86181362267808,117.38898034990387,167.61802294763046,105.0101085711627,98.55078692061156
1970-01-01 00:00:00.390,170.48072247630827,154.22347790799662,117.28349700693732,167.89420055976169,103.6410766549889,98.31543979124964
1970-01-01 00:00:00.400,169.1093515570701,154.56605097694455,117.4166553544504,168.15581487386424,102.32516963820063,98.06514192533425
1970-01-01 00:00:00.410,167.7731891836356,154.88238524797802,117.78420512029152,168.41412650403512,101.0967018983294,97.80322064349232
1970-01-01 00:00:00.420,166.4915509727176,155.169462291961,118.37641184168318,168.66925230093446,99.97305989736334,97.53187857018536
